Txhash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Txn Fee
"0x1d07a4e21fc446591f40378f27973358576ef6bf4f443d2454a781136b4edfef","Success","Vote","5552040","2024-03-24 15:53:24","0x6f62febcf3872aff66ff03ec6065d6bba9fe65f8","","0x0dA9Be8897f08677806641eA38CaBa4661149767","","0 ETH","0.00008811"
"0xe85d54f6af1bcf96592d31f6dd554837b329569b40fca5c2df5dd8409ef83966","Success","Delegate","5549829","2024-03-24 07:43:48","0xb900673ea3222bd79316b80798a57658bee8f2b0","","0x0dA9Be8897f08677806641eA38CaBa4661149767","","0 ETH","0.00006502"
"0x394c9ebe5877c49f7b0ffef521c86d39f19ed6e5bf1c05a27185bf1497ae2aef","Success","Give Right To Vote","5547400","2024-03-23 22:39:36","0xde7c9620a786ce8bb19c23e99cbd6849c7255596","","0x0dA9Be8897f08677806641eA38CaBa4661149767","","0 ETH","0.00004864"
"0x55646ac7094888478d7b08d09e3e4a40c0e602a9b4dd56d39d455507d1c98980","Success","Vote","5547107","2024-03-23 21:34:24","0x65672b9b32629f37f6d52ac4d9694d6c0778c19d","","0x0dA9Be8897f08677806641eA38CaBa4661149767","","0 ETH","0.00009291"
"0xb187790817440ab1eda06678c32e6cdfa3971d9f62ab963500d4dff7429e0d91","Success","Give Right To Vote","5538207","2024-03-22 13:47:36","0xde7c9620a786ce8bb19c23e99cbd6849c7255596","","0x0dA9Be8897f08677806641eA38CaBa4661149767","","0 ETH","0.00034031"
"0xdbad7254e60d39faa81e5351a44a6e5fc417b9e0b7ef90d814852b20f3b7f2f0","Success","Give Right To Vote","5538058","2024-03-22 13:16:24","0xde7c9620a786ce8bb19c23e99cbd6849c7255596","","0x0dA9Be8897f08677806641eA38CaBa4661149767","","0 ETH","0.00031959"
"0xc3c703722c6c6f17e34ce005f85f5fae56dae67371325500845e6241b157a040","Success","Give Right To Vote","5538045","2024-03-22 13:13:24","0xde7c9620a786ce8bb19c23e99cbd6849c7255596","","0x0dA9Be8897f08677806641eA38CaBa4661149767","","0 ETH","0.00031567"
"0x4356490fdf36ac3e7098d019ba5669bda10e0f1fde1b4583ac614231082c81d7","Success","Give Right To Vote","5538037","2024-03-22 13:11:36","0xde7c9620a786ce8bb19c23e99cbd6849c7255596","","0x0dA9Be8897f08677806641eA38CaBa4661149767","","0 ETH","0.00030063"
"0x2da25a25ed85eff57dbcaa4b7d0490f703a5ee238a7c24a3df640a9618551421","Success","Give Right To Vote","5538020","2024-03-22 13:07:48","0xde7c9620a786ce8bb19c23e99cbd6849c7255596","","0x0dA9Be8897f08677806641eA38CaBa4661149767","","0 ETH","0.00030541"
"0x4f4c37b44027a1ddcf1b92dc6ca3226ca40d100ede636de7d50b2add88233478","Success","Give Right To Vote","5537998","2024-03-22 13:03:12","0xde7c9620a786ce8bb19c23e99cbd6849c7255596","","0x0dA9Be8897f08677806641eA38CaBa4661149767","","0 ETH","0.00035776"
"0x473e42d5dd66c30e38280a44ca5f335623b410b380dc4d42d3d26b4703bddfc9","Success","Vote","5537636","2024-03-22 11:47:24","0xde7c9620a786ce8bb19c23e99cbd6849c7255596","","0x0dA9Be8897f08677806641eA38CaBa4661149767","","0 ETH","0.00046842"
"0x1779d5eeaa93ef6a3c8cb74ede69c0e1bf9890426f1114a1abee13de1891de39","Success","0x60806040","5537308","2024-03-22 10:38:12","0xde7c9620a786ce8bb19c23e99cbd6849c7255596","","Contract Creation","","0 ETH","0.04110896"
